Assemblies	r10_2bins_1_MP	r10_2bins_1_MP_helen	r10_2bins_1_r1_medaka	r10_2bins_1_r2_medaka	r10_2bins_1_racon_r1	r10_2bins_1_racon_r2	r10_2bins_1_raw	r10_2bins_2_MP	r10_2bins_2_MP_helen	r10_2bins_2_r1_medaka	r10_2bins_2_r2_medaka	r10_2bins_2_racon_r1	r10_2bins_2_racon_r2	r10_2bins_2_raw	r10_2bins_3_MP	r10_2bins_3_MP_helen	r10_2bins_3_r1_medaka	r10_2bins_3_r2_medaka	r10_2bins_3_racon_r1	r10_2bins_3_racon_r2	r10_2bins_3_raw
bs_ill	99.999	99.999	99.999	99.999	99.999	99.999	99.994	99.999	99.999	99.999	99.999	99.999	99.999	99.993	99.999	99.999	99.999	99.999	99.999	99.999	99.993
ec_ill	97.703	97.701	97.701	97.703	97.703	97.701	97.655	97.703	97.701	97.703	97.701	97.701	97.701	97.660	97.703	97.701	97.701	97.701	97.703	97.703	97.644
ef_ill	99.954	99.954	99.954	99.954	99.954	99.954	99.949	99.954	99.954	99.954	99.954	99.954	99.954	99.949	99.954	99.954	99.954	99.954	99.954	99.954	99.949
lf_ill	99.936	99.865	99.927	99.923	99.891	99.894	99.873	99.936	99.943	99.908	99.885	99.896	99.857	99.883	99.943	99.906	99.926	99.906	99.896	99.859	99.877
lm_ill	99.984	99.984	99.984	99.984	99.984	99.984	99.983	99.984	99.984	99.984	99.984	99.984	99.984	99.981	99.984	99.984	99.984	99.984	99.984	99.984	99.981
pa_ill	99.894	99.894	99.894	99.894	99.894	99.894	99.864	99.893	99.893	99.893	99.893	99.893	99.893	99.878	99.893	99.893	99.893	99.893	99.893	99.893	99.878
sa_ill	99.537	99.537	99.537	99.537	99.537	99.537	99.535	99.537	99.537	99.537	99.537	99.537	99.537	99.542	99.537	99.537	99.537	99.537	99.537	99.537	99.535
se_ill	98.920	98.920	98.920	98.920	98.920	98.920	98.891	98.920	98.920	98.920	98.920	98.920	98.920	98.893	98.920	98.919	98.920	98.920	98.920	98.920	98.896
