Assemblies	r10_2bins_1_MP	r10_2bins_1_MP_helen	r10_2bins_1_r1_medaka	r10_2bins_1_r2_medaka	r10_2bins_1_racon_r1	r10_2bins_1_racon_r2	r10_2bins_1_raw	r10_2bins_2_MP	r10_2bins_2_MP_helen	r10_2bins_2_r1_medaka	r10_2bins_2_r2_medaka	r10_2bins_2_racon_r1	r10_2bins_2_racon_r2	r10_2bins_2_raw	r10_2bins_3_MP	r10_2bins_3_MP_helen	r10_2bins_3_r1_medaka	r10_2bins_3_r2_medaka	r10_2bins_3_racon_r1	r10_2bins_3_racon_r2	r10_2bins_3_raw
bs_ill	34	34	34	34	33	34	31	34	34	34	34	34	34	31	34	34	34	34	34	34	31
ec_ill	21	21	21	21	21	21	20	21	21	21	21	21	21	21	21	21	21	21	21	21	19
ef_ill	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lf_ill	74	73	74	78	74	80	76	74	73	73	77	74	78	75	74	73	73	76	74	80	75
lm_ill	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
pa_ill	6	6	6	6	6	6	10	8	6	6	6	6	6	10	8	6	6	6	6	6	10
sa_ill	13	13	13	13	13	13	14	13	13	13	13	13	13	15	13	13	13	13	13	13	15
se_ill	15	15	15	15	15	15	19	15	15	15	15	15	15	18	15	16	15	15	15	15	18
