Assemblies	r10_1bin_v3_1_MP	r10_1bin_v3_1_MP_helen	r10_1bin_v3_1_r1_medaka	r10_1bin_v3_1_r2_medaka	r10_1bin_v3_1_racon_r1	r10_1bin_v3_1_racon_r2	r10_1bin_v3_1_raw	r10_1bin_v3_2_MP	r10_1bin_v3_2_MP_helen	r10_1bin_v3_2_r1_medaka	r10_1bin_v3_2_r2_medaka	r10_1bin_v3_2_racon_r1	r10_1bin_v3_2_racon_r2	r10_1bin_v3_2_raw	r10_1bin_v3_3_MP	r10_1bin_v3_3_MP_helen	r10_1bin_v3_3_r1_medaka	r10_1bin_v3_3_r2_medaka	r10_1bin_v3_3_racon_r1	r10_1bin_v3_3_racon_r2	r10_1bin_v3_3_raw
bs_ill	4045594	4045616	4045591	4045596	4045200	4045302	4042945	4045598	4045623	4045846	4045845	4045161	4045304	4043043	4045599	4045602	4045842	4045840	4045210	4045276	4043035
ec_ill	4765884	4765881	4765833	4765837	4765031	4765076	4763514	4765366	4765332	4765684	4765663	4764521	4764646	4763440	4765358	4765330	4765688	4765655	4764491	4764636	4763330
ef_ill	2845421	2845364	2845429	2845429	2845295	2845304	2843358	2845423	2845360	2845571	2845564	2845301	2845301	2843368	2845422	2845361	2845572	2845563	2845260	2845299	2843358
lf_ill	1947311	1945172	1945343	1936940	1935218	1930341	1945501	1947346	1946452	1945713	1937018	1935181	1930119	1945498	1951039	1946515	1949116	1942386	1938651	1933401	1948659
lm_ill	2992085	2992067	2992074	2992074	2991917	2991951	2990633	2992084	2992067	2992184	2992173	2991893	2991931	2990628	2992084	2992068	2992178	2992176	2991922	2991951	2990626
pa_ill	6792277	6792242	6792252	6792253	6791585	6791667	6787707	6792257	6792199	6792399	6792386	6791581	6791672	6787721	6792253	6792197	6792391	6792395	6791556	6791638	6787718
sa_ill	2719591	2717945	2719536	2719598	2720563	2720641	2718437	2719739	2717966	2721106	2721103	2720628	2720631	2718867	2719745	2717968	2721103	2721099	2720626	2720626	2718867
se_ill	4758942	4758045	4758082	4757996	4757676	4757433	4756098	4758934	4757811	4759010	4758465	4757950	4757851	4756089	4758933	4757839	4759025	4758469	4757998	4757867	4756074
