Assemblies  MP_helen_r10_1  MP_helen_r10_2  MP_helen_r10_3  MP_r10_1  MP_r10_2  MP_r10_3  r1_medaka_r10_1  r1_medaka_r10_2  r1_medaka_r10_3  r2_medaka_r10_1  r2_medaka_r10_2  r2_medaka_r10_3  racon_r1_r10_1  racon_r1_r10_2  racon_r1_r10_3  racon_r2_r10_1  racon_r2_r10_2  racon_r2_r10_3  raw_r10_1  raw_r10_2  raw_r10_3
bs_ill      7               7               7               7         7         7         7                7                7                7                7                7                7               7               7               7               7               7               7          7          7        
ec_ill      7               7               7               7         7         7         7                7                7                7                7                7                7               7               7               7               7               7               7          7          7        
ef_ill      7               7               7               7         7         7         7                7                7                7                7                7                7               7               7               7               7               7               7          7          7        
lf_ill      7               7               7               7         7         7         7                7                7                7                7                7                7               7               7               7               7               7               7          7          7        
lm_ill      7               7               7               7         7         7         7                7                7                7                7                7                7               7               7               7               7               7               8          8          8        
pa_ill      8               8               8               8         8         8         8                8                8                8                8                8                8               8               8               8               8               8               8          8          8        
sa_ill      7               7               7               7         7         7         7                7                7                7                7                7                7               7               7               7               7               7               7          7          7        
se_ill      7               7               7               7         7         7         7                7                7                7                7                7                7               7               7               7               7               7               7          7          7        
