Assemblies  MP_helen_r10_1  MP_helen_r10_2  MP_helen_r10_3  MP_r10_1  MP_r10_2  MP_r10_3  r1_medaka_r10_1  r1_medaka_r10_2  r1_medaka_r10_3  r2_medaka_r10_1  r2_medaka_r10_2  r2_medaka_r10_3  racon_r1_r10_1  racon_r1_r10_2  racon_r1_r10_3  racon_r2_r10_1  racon_r2_r10_2  racon_r2_r10_3  raw_r10_1  raw_r10_2  raw_r10_3
bs_ill      4               5               4               4         5         4         4                5                4                4                5                4                4               5               4               4               5               4               4          5          4        
ec_ill      2               2               2               2         2         2         2                2                2                2                2                2                2               2               2               2               2               2               3          3          3        
ef_ill      1               1               1               1         1         1         1                1                1                1                1                1                1               1               1               1               1               1               1          1          1        
lf_ill      8               8               8               8         8         8         8                8                8                8                8                8                8               8               8               8               9               8               8          8          8        
lm_ill      1               1               1               1         1         1         1                1                1                1                1                1                1               1               1               1               1               1               1          1          1        
pa_ill      2               2               2               3         3         3         2                2                2                2                2                2                2               2               2               2               2               2               2          2          2        
sa_ill      2               2               2               2         2         2         2                2                2                2                2                2                2               2               2               2               2               2               1          1          1        
se_ill      3               3               3               3         3         3         3                3                3                3                3                3                3               3               3               3               3               3               3          3          3        
