Assemblies	r10_8bins_1_MP	r10_8bins_1_MP_helen	r10_8bins_1_r1_medaka	r10_8bins_1_r2_medaka	r10_8bins_1_racon_r1	r10_8bins_1_racon_r2	r10_8bins_1_raw	r10_8bins_2_MP	r10_8bins_2_MP_helen	r10_8bins_2_r1_medaka	r10_8bins_2_r2_medaka	r10_8bins_2_racon_r1	r10_8bins_2_racon_r2	r10_8bins_2_raw	r10_8bins_3_MP	r10_8bins_3_MP_helen	r10_8bins_3_r1_medaka	r10_8bins_3_r2_medaka	r10_8bins_3_racon_r1	r10_8bins_3_racon_r2	r10_8bins_3_raw
bs_ill	97.52	95.57	97.57	96.29	99.93	97.27	83.48	97.75	95.47	95.59	95.87	97.32	98.38	87.48	97.92	93.08	94.34	96.17	95.01	99.68	86.84
ec_ill	440.09	439.64	442.08	441.69	445.67	446.59	493.41	439.84	439.36	442.81	442.41	449.93	449.16	484.70	435.47	432.93	442.06	441.65	439.79	449.39	477.81
ef_ill	247.87	252.98	250.92	252.69	239.18	244.43	147.96	246.66	253.97	246.87	248.54	240.42	240.31	152.79	248.61	250.88	251.06	247.02	231.90	240.03	145.41
lf_ill	266.98	267.34	289.03	291.17	267.21	267.38	360.39	267.36	266.22	300.95	283.79	270.05	272.00	372.64	265.66	264.01	318.25	275.04	267.89	268.23	362.05
lm_ill	229.56	236.33	232.81	230.58	230.75	232.81	141.48	230.14	236.02	230.54	231.93	229.97	234.30	149.16	229.46	234.60	232.20	229.33	228.82	229.43	138.08
pa_ill	59.19	56.23	56.51	56.93	59.50	59.65	65.44	58.64	55.86	56.18	55.77	58.12	57.82	64.79	58.10	55.35	55.74	55.69	58.03	58.16	66.83
sa_ill	282.21	250.98	283.96	282.17	276.72	293.83	252.85	287.25	256.62	286.65	291.77	284.41	302.42	250.71	281.51	250.80	284.16	283.90	283.75	294.77	239.24
se_ill	411.42	409.03	410.07	410.16	419.82	416.90	469.18	412.08	409.50	409.77	411.20	410.20	418.03	461.21	410.51	408.73	404.10	404.63	418.95	414.62	462.22
