Assemblies	r10_1bin_1_MP	r10_1bin_1_MP_helen	r10_1bin_1_r1_medaka	r10_1bin_1_r2_medaka	r10_1bin_1_racon_r1	r10_1bin_1_racon_r2	r10_1bin_1_raw	r10_1bin_2_MP	r10_1bin_2_MP_helen	r10_1bin_2_r1_medaka	r10_1bin_2_r2_medaka	r10_1bin_2_racon_r1	r10_1bin_2_racon_r2	r10_1bin_2_raw	r10_1bin_3_MP	r10_1bin_3_MP_helen	r10_1bin_3_r1_medaka	r10_1bin_3_r2_medaka	r10_1bin_3_racon_r1	r10_1bin_3_racon_r2	r10_1bin_3_raw
bs_ill	34	34	34	34	34	34	31	34	34	34	34	34	34	31	34	34	34	34	34	34	31
ec_ill	21	21	21	21	21	21	19	21	21	21	21	21	21	18	21	21	21	21	21	21	19
ef_ill	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lf_ill	74	73	75	77	75	79	75	73	73	74	78	75	78	75	74	73	75	78	79	79	75
lm_ill	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
pa_ill	8	6	6	6	6	6	10	6	6	6	6	6	6	10	6	6	6	6	6	6	10
sa_ill	13	13	13	13	13	13	14	13	13	13	13	13	13	13	13	13	13	13	13	13	15
se_ill	15	16	15	15	15	15	18	15	16	15	15	15	15	18	15	16	15	15	15	15	19
