Assemblies	MP_helen_r10_bins_1	MP_helen_r10_bins_2	MP_helen_r10_bins_3	MP_r10_bins_1	MP_r10_bins_2	MP_r10_bins_3	r1_medaka_r10_bins_1	r1_medaka_r10_bins_2	r1_medaka_r10_bins_3	r2_medaka_r10_bins_1	r2_medaka_r10_bins_2	r2_medaka_r10_bins_3	racon_r1_r10_bins_1	racon_r1_r10_bins_2	racon_r1_r10_bins_3	racon_r2_r10_bins_1	racon_r2_r10_bins_2	racon_r2_r10_bins_3	raw_r10_bins_1	raw_r10_bins_2	raw_r10_bins_3
bs_ill	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	31	32	31
ec_ill	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	19	19	19
ef_ill	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lf_ill	73	75	73	74	74	74	76	74	75	74	77	75	80	75	79	75	79	76	75	75	77
lm_ill	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
pa_ill	6	6	6	8	6	8	6	6	6	6	6	6	6	6	6	6	6	6	9	10	10
sa_ill	14	13	14	14	13	14	14	13	14	14	13	14	14	13	14	14	13	14	14	12	12
se_ill	15	16	16	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	19	18	19
