Assemblies	MP_helen_r10_bins_1	MP_helen_r10_bins_2	MP_helen_r10_bins_3	MP_r10_bins_1	MP_r10_bins_2	MP_r10_bins_3	r1_medaka_r10_bins_1	r1_medaka_r10_bins_2	r1_medaka_r10_bins_3	r2_medaka_r10_bins_1	r2_medaka_r10_bins_2	r2_medaka_r10_bins_3	racon_r1_r10_bins_1	racon_r1_r10_bins_2	racon_r1_r10_bins_3	racon_r2_r10_bins_1	racon_r2_r10_bins_2	racon_r2_r10_bins_3	raw_r10_bins_1	raw_r10_bins_2	raw_r10_bins_3
bs_ill	4045615	4045634	4045636	4045594	4045608	4045601	4045589	4045607	4045601	4045589	4045605	4045604	4045233	4045287	4045256	4045364	4045333	4045318	4042946	4043032	4042936
ec_ill	4765299	4765370	4765301	4765922	4765391	4765920	4765362	4765395	4765360	4765364	4765350	4765359	4764643	4764770	4764652	4764716	4764723	4764656	4763471	4763493	4763422
ef_ill	2845363	2845435	2845364	2845421	2845426	2845426	2845430	2845432	2845434	2845429	2845433	2845432	2845290	2845293	2845290	2845315	2845310	2845306	2843359	2843856	2843855
lf_ill	1945220	1948337	1946027	1947386	1948618	1947377	1946006	1948295	1946186	1938810	1942023	1939676	1934396	1939137	1934016	1929499	1935082	1927070	1945410	1947409	1945404
lm_ill	2992064	2992055	2992078	2992084	2992059	2992095	2992070	2992047	2992077	2992072	2992049	2992076	2991922	2991946	2991934	2991954	2991964	2991975	2990633	2990279	2990261
pa_ill	6792153	6792196	6792204	6792195	6792258	6792206	6792241	6792240	6792231	6792247	6792237	6792231	6791608	6791632	6791594	6791690	6791710	6791707	6787702	6787718	6788614
sa_ill	2717987	2718054	2718086	2719777	2719835	2719835	2719552	2719502	2719543	2719584	2719579	2719559	2720311	2720303	2720298	2720378	2720381	2720321	2718434	2718434	2718864
se_ill	4757946	4757846	4757780	4758962	4758994	4758970	4758583	4758586	4758587	4758100	4758114	4758101	4757934	4757908	4757887	4757853	4757839	4757857	4755983	4756088	4755683
