Assemblies  r10_1bin_1_MP  r10_1bin_1_MP_helen  r10_1bin_1_r1_medaka  r10_1bin_1_r2_medaka  r10_1bin_1_racon_r1  r10_1bin_1_racon_r2  r10_1bin_1_raw  r10_1bin_2_MP  r10_1bin_2_MP_helen  r10_1bin_2_r1_medaka  r10_1bin_2_r2_medaka  r10_1bin_2_racon_r1  r10_1bin_2_racon_r2  r10_1bin_2_raw  r10_1bin_3_MP  r10_1bin_3_MP_helen  r10_1bin_3_r1_medaka  r10_1bin_3_r2_medaka  r10_1bin_3_racon_r1  r10_1bin_3_racon_r2  r10_1bin_3_raw
bs_ill      4097279        4095632              4095878               4095800               4096149              4096289              4056663         4097573        4096083              4096884               4097023               4096877              4097302              4059912         4096806        4094392              4097289               4096090               4097355              4097252              4058202       
ec_ill      5029788        5029835              5033790               5033291               5030902              5037405              4942385         5030076        5029914              5030776               5032646               5027574              5034052              4946879         5028526        5028135              5033033               5032602               5031647              5032999              4944437       
ef_ill      2971690        2973422              2973434               2972354               2966936              2969023              2907000         2971749        2973223              2971523               2971890               2965669              2970008              2908499         2971737        2972784              2973513               2972652               2967459              2970193              2907357       
lf_ill      1988775        1984219              1981606               1974020               1978403              1973897              1945915         1986078        1984632              1983573               1975881               1976205              1967892              1945252         1986419        1982430              1981309               1973257               1975490              1970859              1946815       
lm_ill      3117081        3119198              3119517               3118944               3117118              3119482              3055629         3117596        3119979              3119008               3119810               3116764              3118364              3058291         3117011        3118399              3119989               3119877               3116733              3119505              3057091       
pa_ill      6816059        6815383              6816206               6815910               6815136              6815448              6768945         6815335        6815298              6816018               6815528               6814460              6814653              6769200         6815136        6815111              6816016               6816080               6814829              6815171              6768858       
sa_ill      2797636        2795887              2796896               2797478               2796102              2797591              2737632         2797615        2794963              2797543               2797833               2794544              2798741              2738478         2797861        2796148              2797081               2797380               2796070              2796835              2739322       
se_ill      5034674        5034036              5034753               5030825               5032416              5035574              4951007         5034994        5034183              5034694               5033911               5033848              5035972              4954941         5034745        5034043              5034160               5033769               5035696              5034889              4953133       
