Assemblies  r10_2bins_v2_1_MP  r10_2bins_v2_1_MP_helen  r10_2bins_v2_1_r1_medaka  r10_2bins_v2_1_r2_medaka  r10_2bins_v2_1_racon_r1  r10_2bins_v2_1_racon_r2  r10_2bins_v2_1_raw  r10_2bins_v2_2_MP  r10_2bins_v2_2_MP_helen  r10_2bins_v2_2_r1_medaka  r10_2bins_v2_2_r2_medaka  r10_2bins_v2_2_racon_r1  r10_2bins_v2_2_racon_r2  r10_2bins_v2_2_raw  r10_2bins_v2_3_MP  r10_2bins_v2_3_MP_helen  r10_2bins_v2_3_r1_medaka  r10_2bins_v2_3_r2_medaka  r10_2bins_v2_3_racon_r1  r10_2bins_v2_3_racon_r2  r10_2bins_v2_3_raw
bs_ill      99.81              96.87                    97.62                     96.67                     98.45                    97.67                    81.37               97.12              95.19                    97.35                     95.79                     97.37                    97.30                    84.98               98.38              96.09                    96.62                     96.59                     98.63                    99.25                    87.93             
ec_ill      442.93             438.87                   441.51                    441.79                    446.10                   453.44                   481.60              442.72             439.26                   442.51                    441.39                    449.96                   450.63                   484.96              443.15             439.66                   442.64                    440.72                    441.44                   451.89                   481.13            
ef_ill      248.40             251.38                   248.08                    251.81                    238.93                   239.53                   157.16              249.22             252.80                   252.98                    249.64                    230.31                   239.92                   148.85              244.71             252.69                   248.72                    250.71                    235.02                   236.12                   152.79            
lf_ill      271.19             267.48                   289.71                    279.76                    270.50                   268.50                   350.14              265.59             264.63                   299.85                    278.07                    270.95                   268.47                   355.03              268.32             266.53                   297.53                    282.56                    269.72                   267.30                   373.53            
lm_ill      229.09             235.48                   234.50                    233.59                    230.58                   233.76                   143.34              228.41             235.38                   234.50                    233.52                    226.69                   231.15                   144.12              230.75             236.66                   231.22                    225.78                    224.36                   228.58                   149.66            
pa_ill      58.73              56.18                    56.60                     56.66                     59.56                    58.80                    64.65               58.40              56.18                    57.18                     56.51                     59.43                    58.33                    64.73               58.41              56.24                    56.56                     56.51                     58.71                    58.89                    65.49             
sa_ill      286.80             257.07                   286.73                    289.01                    284.67                   299.50                   244.40              283.37             252.13                   287.36                    283.85                    285.16                   291.14                   255.89              286.77             257.36                   286.21                    290.13                    279.14                   298.68                   250.71            
se_ill      413.09             410.25                   409.77                    409.71                    413.25                   415.88                   463.38              412.26             411.68                   406.02                    405.97                    416.35                   421.70                   461.22              412.90             410.51                   409.77                    409.47                    415.34                   419.40                   463.94            
