Assemblies  r10_2bins_v2_1_MP  r10_2bins_v2_1_MP_helen  r10_2bins_v2_1_r1_medaka  r10_2bins_v2_1_r2_medaka  r10_2bins_v2_1_racon_r1  r10_2bins_v2_1_racon_r2  r10_2bins_v2_1_raw  r10_2bins_v2_2_MP  r10_2bins_v2_2_MP_helen  r10_2bins_v2_2_r1_medaka  r10_2bins_v2_2_r2_medaka  r10_2bins_v2_2_racon_r1  r10_2bins_v2_2_racon_r2  r10_2bins_v2_2_raw  r10_2bins_v2_3_MP  r10_2bins_v2_3_MP_helen  r10_2bins_v2_3_r1_medaka  r10_2bins_v2_3_r2_medaka  r10_2bins_v2_3_racon_r1  r10_2bins_v2_3_racon_r2  r10_2bins_v2_3_raw
bs_ill      99.999             99.999                   99.999                    99.999                    99.999                   99.999                   99.993              99.999             99.999                   99.999                    99.999                    99.999                   99.999                   99.994              99.999             99.999                   99.999                    99.999                    99.999                   99.999                   99.980            
ec_ill      97.703             97.703                   97.701                    97.701                    97.703                   97.701                   97.646              97.703             97.703                   97.703                    97.703                    97.701                   97.703                   97.663              97.703             97.703                   97.701                    97.701                    97.703                   97.703                   97.663            
ef_ill      99.954             99.954                   99.954                    99.954                    99.954                   99.954                   99.947              99.954             99.954                   99.954                    99.954                    99.954                   99.954                   99.949              99.954             99.954                   99.954                    99.954                    99.954                   99.954                   99.949            
lf_ill      99.943             99.838                   99.922                    99.911                    99.891                   99.873                   99.873              99.943             99.908                   99.922                    99.941                    99.908                   99.925                   99.870              99.936             99.943                   99.921                    99.900                    99.912                   99.886                   99.861            
lm_ill      99.984             99.984                   99.984                    99.984                    99.984                   99.984                   99.981              99.984             99.984                   99.984                    99.984                    99.984                   99.984                   99.981              99.984             99.984                   99.984                    99.984                    99.984                   99.984                   99.983            
pa_ill      99.893             99.893                   99.893                    99.893                    99.893                   99.893                   99.878              99.894             99.894                   99.894                    99.894                    99.894                   99.894                   99.864              99.894             99.894                   99.894                    99.894                    99.894                   99.894                   99.864            
sa_ill      99.537             99.537                   99.537                    99.537                    99.537                   99.537                   99.538              99.537             99.537                   99.537                    99.537                    99.537                   99.537                   99.542              99.537             99.537                   99.537                    99.537                    99.537                   99.537                   99.538            
se_ill      98.918             98.919                   98.920                    98.920                    98.920                   98.920                   98.896              98.918             98.919                   98.920                    98.920                    98.920                   98.920                   98.894              98.918             98.918                   98.920                    98.920                    98.920                   98.920                   98.896            
