Assembly	MP_helen_r10_1	MP_helen_r10_2	MP_helen_r10_3	MP_r10_1	MP_r10_2	MP_r10_3	r1_medaka_r10_1	r1_medaka_r10_2	r1_medaka_r10_3	r2_medaka_r10_1	r2_medaka_r10_2	r2_medaka_r10_3	racon_r1_r10_1	racon_r1_r10_2	racon_r1_r10_3	racon_r2_r10_1	racon_r2_r10_2	racon_r2_r10_3	raw_r10_1	raw_r10_2	raw_r10_3
# fully unaligned contigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fully unaligned length	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# partially unaligned contigs	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8
Partially unaligned length	78334	79238	78141	77559	78440	77994	80389	81606	79327	80339	81948	80562	77865	77619	77776	77778	76436	76731	136362	133018	137278
# N's	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
