Assemblies  r10_2bins_1_MP  r10_2bins_1_MP_helen  r10_2bins_1_r1_medaka  r10_2bins_1_r2_medaka  r10_2bins_1_racon_r1  r10_2bins_1_racon_r2  r10_2bins_1_raw  r10_2bins_2_MP  r10_2bins_2_MP_helen  r10_2bins_2_r1_medaka  r10_2bins_2_r2_medaka  r10_2bins_2_racon_r1  r10_2bins_2_racon_r2  r10_2bins_2_raw  r10_2bins_3_MP  r10_2bins_3_MP_helen  r10_2bins_3_r1_medaka  r10_2bins_3_r2_medaka  r10_2bins_3_racon_r1  r10_2bins_3_racon_r2  r10_2bins_3_raw
bs_ill      788681          788688                788690                 788689                 788618                788636                788158           788689          788691                788690                 788690                 788631                788626                788122           788689          788691                788691                 788691                 788603                788629                788119         
ec_ill      1409355         1409277               1408949                1408887                1408915               1408742               1009756          1408933         1408887               1408949                1408914                1408923               1408777               850481           1408818         1408785               1408816                1408821                1408632               1408656               1104930        
ef_ill      2390860         2390839               2390857                2390859                2390752               2390776               2387805          2390860         2390839               2390858                2390859                2390752               2390774               2387805          2390860         2390839               2390858                2390859                2390752               2390774               2387805        
lf_ill      177205          177204                173115                 177199                 173026                177108                177004           177206          177204                177201                 177197                 176864                177019                176985           177206          177203                177199                 176167                 176864                175845                176985         
lm_ill      1569037         1569032               1569034                1569033                1568957               1568971               1568370          1569037         1569030               1569032                1569032                1568966               1568990               1568344          1569037         1569030               1569032                1569033                1568966               1568990               1568344        
pa_ill      1643841         1643830               1643846                1643846                1643660               1643672               2098268          1643839         2052184               2052214                2052214                2052072               2052098               2098630          1643839         2052184               2052213                2052214                2052072               2052059               2098630        
sa_ill      948835          948132                948683                 948668                 949071                948990                948394           948834          948258                948799                 948659                 948996                948996                948394           948836          948131                948671                 948663                 949124                948985                948394         
se_ill      1342513         1342441               1342470                1342475                1342282               1342306               1341368          1342526         1342441               1342477                1342475                1342189               1342321               1341465          1342514         1342443               1342476                1342475                1342192               1342311               1341434        
