Assemblies  r10_2bins_1_MP  r10_2bins_1_MP_helen  r10_2bins_1_r1_medaka  r10_2bins_1_r2_medaka  r10_2bins_1_racon_r1  r10_2bins_1_racon_r2  r10_2bins_1_raw  r10_2bins_2_MP  r10_2bins_2_MP_helen  r10_2bins_2_r1_medaka  r10_2bins_2_r2_medaka  r10_2bins_2_racon_r1  r10_2bins_2_racon_r2  r10_2bins_2_raw  r10_2bins_3_MP  r10_2bins_3_MP_helen  r10_2bins_3_r1_medaka  r10_2bins_3_r2_medaka  r10_2bins_3_racon_r1  r10_2bins_3_racon_r2  r10_2bins_3_raw
bs_ill      329482          329468                329466                 329465                 329431                329441                329372           329480          329467                329466                 329466                 329435                329449                329353           329480          329467                329466                 329466                 329439                329443                329354         
ec_ill      1103287         1105635               1105652                1103275                1103068               1105468               586871           1103284         1105633               1103273                1105649                1105948               1105488               412111           1103294         1105646               1105651                1105651                1103091               1103091               583107         
ef_ill      2390860         2390839               2390857                2390859                2390752               2390776               2387805          2390860         2390839               2390858                2390859                2390752               2390774               2387805          2390860         2390839               2390858                2390859                2390752               2390774               2387805        
lf_ill      89790           88405                 89889                  81505                  81598                 81441                 69730            89792           89688                 89898                  81317                  81493                 81195                 69730            89792           89076                 89788                  83441                  81496                 83365                 69730          
lm_ill      1569037         1569032               1569034                1569033                1568957               1568971               1568370          1569037         1569030               1569032                1569032                1568966               1568990               1568344          1569037         1569030               1569032                1569033                1568966               1568990               1568344        
pa_ill      1274469         1274461               1274469                1274469                1274323               1274352               1471391          1274459         1643839               1643848                1643848                1643664               1643668               1471418          1274459         1643839               1643848                1643849                1643664               1643656               1471418        
sa_ill      480571          480265                480496                 480503                 480646                480631                480377           480571          480269                480494                 480494                 480646                480604                480377           480564          480259                480494                 480503                 480646                480612                480377         
se_ill      745420          745358                745367                 745370                 745263                745290                745148           745421          745356                745372                 745370                 745266                745286                744976           745403          745357                745371                 745370                 745275                745284                744979         
