Assemblies  r10_1bin_v2_1_MP  r10_1bin_v2_1_MP_helen  r10_1bin_v2_1_r1_medaka  r10_1bin_v2_1_r2_medaka  r10_1bin_v2_1_racon_r1  r10_1bin_v2_1_racon_r2  r10_1bin_v2_1_raw  r10_1bin_v2_2_MP  r10_1bin_v2_2_MP_helen  r10_1bin_v2_2_r1_medaka  r10_1bin_v2_2_r2_medaka  r10_1bin_v2_2_racon_r1  r10_1bin_v2_2_racon_r2  r10_1bin_v2_2_raw  r10_1bin_v2_3_MP  r10_1bin_v2_3_MP_helen  r10_1bin_v2_3_r1_medaka  r10_1bin_v2_3_r2_medaka  r10_1bin_v2_3_racon_r1  r10_1bin_v2_3_racon_r2  r10_1bin_v2_3_raw
bs_ill      24074864          24069434                24071998                 24064261                 24059992                24055964                24060023           24074405          24069671                24071816                 24060875                 24059808                24052467                24060967           24075545          24072103                24075113                 24069593                 24065155                24060597                24062694         
ec_ill      24074864          24069434                24071998                 24064261                 24059992                24055964                28129302           24074405          24069671                24071816                 24060875                 24059808                24052467                28130239           24075545          24072103                24075113                 24069593                 24065155                24060597                28132457         
ef_ill      24074864          24069434                24071998                 24064261                 24059992                24055964                24060023           24074405          24069671                24071816                 24060875                 24059808                24052467                24060967           24075545          24072103                24075113                 24069593                 24065155                24060597                24062694         
lf_ill      24074864          24069434                24071998                 24064261                 24059992                24055964                24060023           24074405          24069671                24071816                 24060875                 24059808                24052467                24060967           24075545          24072103                24075113                 24069593                 24065155                24060597                24062694         
lm_ill      24074864          24069434                24071998                 24064261                 24059992                24055964                30847730           24074405          24069671                24071816                 24060875                 24059808                24052467                30848669           24075545          24072103                24075113                 24069593                 24065155                24060597                30851275         
pa_ill      30867141          30861676                30864248                 30856517                 30851576                30847638                30847730           30866597          30861823                30864057                 30853121                 30851361                30844132                30848669           30867787          30864288                30867356                 30861838                 30856703                30852242                30851275         
sa_ill      24074864          24069434                24071998                 24064261                 24059992                24055964                24060023           24074405          24069671                24071816                 24060875                 24059808                24052467                24060967           24075545          24072103                24075113                 24069593                 24065155                24060597                24062694         
se_ill      24074864          24069434                24071998                 24064261                 24059992                24055964                28129302           24074405          24069671                24071816                 24060875                 24059808                24052467                28130239           24075545          24072103                24075113                 24069593                 24065155                24060597                28132457         
