Assembly	MP_helen_r10_1	MP_helen_r10_2	MP_helen_r10_3	MP_r10_1	MP_r10_2	MP_r10_3	r1_medaka_r10_1	r1_medaka_r10_2	r1_medaka_r10_3	r2_medaka_r10_1	r2_medaka_r10_2	r2_medaka_r10_3	racon_r1_r10_1	racon_r1_r10_2	racon_r1_r10_3	racon_r2_r10_1	racon_r2_r10_2	racon_r2_r10_3	raw_r10_1	raw_r10_2	raw_r10_3
# fully unaligned contigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fully unaligned length	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# partially unaligned contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7
Partially unaligned length	21094534	21093007	21094962	21099150	21098261	21099468	21097110	21094764	21096732	21089872	21081977	21093488	21090751	21087724	21090506	21083807	21076351	21085887	21153285	21150527	21152169
# N's	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
