Assembly	MP_helen_r10_1	MP_helen_r10_2	MP_helen_r10_3	MP_r10_1	MP_r10_2	MP_r10_3	r1_medaka_r10_1	r1_medaka_r10_2	r1_medaka_r10_3	r2_medaka_r10_1	r2_medaka_r10_2	r2_medaka_r10_3	racon_r1_r10_1	racon_r1_r10_2	racon_r1_r10_3	racon_r2_r10_1	racon_r2_r10_2	racon_r2_r10_3	raw_r10_1	raw_r10_2	raw_r10_3
# fully unaligned contigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fully unaligned length	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# partially unaligned contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Partially unaligned length	24046027	24044470	24045837	24049287	24048525	24049809	24048256	24045248	24047993	24041790	24032946	24045173	24037225	24033987	24038867	24035253	24027281	24036224	24079168	24077042	24078026
# N's	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
