Assemblies	r10_1bin_v2_1_MP	r10_1bin_v2_1_MP_helen	r10_1bin_v2_1_r1_medaka	r10_1bin_v2_1_r2_medaka	r10_1bin_v2_1_racon_r1	r10_1bin_v2_1_racon_r2	r10_1bin_v2_1_raw	r10_1bin_v2_2_MP	r10_1bin_v2_2_MP_helen	r10_1bin_v2_2_r1_medaka	r10_1bin_v2_2_r2_medaka	r10_1bin_v2_2_racon_r1	r10_1bin_v2_2_racon_r2	r10_1bin_v2_2_raw	r10_1bin_v2_3_MP	r10_1bin_v2_3_MP_helen	r10_1bin_v2_3_r1_medaka	r10_1bin_v2_3_r2_medaka	r10_1bin_v2_3_racon_r1	r10_1bin_v2_3_racon_r2	r10_1bin_v2_3_raw
bs_ill	4	4	4	4	4	4	4	5	5	5	5	5	5	5	4	4	4	4	4	4	4
ec_ill	2	2	2	2	2	2	3	2	2	2	2	2	2	3	2	2	2	2	2	2	3
ef_ill	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lf_ill	8	8	8	8	9	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
lm_ill	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pa_ill	3	2	2	2	2	2	3	3	3	3	3	3	3	2	3	2	2	2	2	2	2
sa_ill	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	1
se_ill	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
