Assemblies  r10_1bin_v3_1_MP  r10_1bin_v3_1_MP_helen  r10_1bin_v3_1_r1_medaka  r10_1bin_v3_1_r2_medaka  r10_1bin_v3_1_racon_r1  r10_1bin_v3_1_racon_r2  r10_1bin_v3_1_raw  r10_1bin_v3_2_MP  r10_1bin_v3_2_MP_helen  r10_1bin_v3_2_r1_medaka  r10_1bin_v3_2_r2_medaka  r10_1bin_v3_2_racon_r1  r10_1bin_v3_2_racon_r2  r10_1bin_v3_2_raw  r10_1bin_v3_3_MP  r10_1bin_v3_3_MP_helen  r10_1bin_v3_3_r1_medaka  r10_1bin_v3_3_r2_medaka  r10_1bin_v3_3_racon_r1  r10_1bin_v3_3_racon_r2  r10_1bin_v3_3_raw
bs_ill      34                34                      34                       34                       33                      34                      31                 34                34                      34                       34                       34                      34                      32                 34                34                      34                       34                       34                      34                      31               
ec_ill      21                21                      21                       21                       21                      21                      19                 21                21                      21                       21                       21                      21                      19                 21                21                      21                       21                       21                      21                      19               
ef_ill      1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                  1                 1                       1                        1                        1                       1                       1                
lf_ill      73                74                      76                       78                       75                      81                      75                 74                73                      76                       77                       75                      78                      75                 76                76                      76                       78                       78                      80                      77               
lm_ill      2                 2                       2                        2                        2                       2                       2                  2                 2                       2                        2                        2                       2                       2                  2                 2                       2                        2                        2                       2                       2                
pa_ill      8                 6                       6                        6                        6                       6                       10                 8                 6                       6                        6                        6                       6                       10                 6                 6                       6                        6                        6                       6                       10               
sa_ill      13                13                      13                       13                       13                      13                      13                 13                13                      13                       13                       13                      13                      15                 13                13                      13                       13                       13                      13                      15               
se_ill      15                15                      15                       15                       15                      15                      19                 15                16                      15                       15                       15                      15                      18                 15                16                      15                       15                       15                      15                      18               
