Assemblies	MP_helen_r10_1	MP_helen_r10_2	MP_helen_r10_3	MP_r10_1	MP_r10_2	MP_r10_3	r1_medaka_r10_1	r1_medaka_r10_2	r1_medaka_r10_3	r2_medaka_r10_1	r2_medaka_r10_2	r2_medaka_r10_3	racon_r1_r10_1	racon_r1_r10_2	racon_r1_r10_3	racon_r2_r10_1	racon_r2_r10_2	racon_r2_r10_3	raw_r10_1	raw_r10_2	raw_r10_3
bs_ill	329412	315070	329470	329413	315065	329482	329410	315067	329466	329410	315066	329464	329374	315048	329446	329400	315040	329451	329315	314876	329346
ec_ill	1102964	1103266	1105651	1102965	1103287	1103294	1102953	1103270	1103279	1102960	1105647	1103284	1102776	1103102	1103098	1102840	1103126	1103150	586489	586884	586344
ef_ill	2594042	2594005	2594042	2594071	2594073	2594072	2594080	2594080	2594077	2594077	2594078	2594078	2593978	2593970	2593977	2593960	2593995	2594002	2589370	2589961	2589447
lf_ill	69796	88201	69794	81537	89790	81536	81506	89788	81506	81470	81428	81470	81445	89773	81445	81437	69433	81437	69751	69730	69751
lm_ill	2719483	1569029	2719483	2719482	1569036	2719482	2719473	1569031	2719474	2719473	1569033	2719472	2719362	1568971	2719367	2719393	1569000	2719396	2718083	1568343	2718129
pa_ill	1643838	1643838	1643838	1274462	1274462	1274462	1643848	1643848	1643848	1643848	1643848	1643848	1643672	1643672	1643672	1643712	1643712	1643712	1471418	1471418	1471418
sa_ill	480285	480282	480291	480587	480580	480578	480485	480484	480483	480490	480473	480489	480605	480595	480596	480622	480618	480629	1350628	1350628	1350628
se_ill	745355	745359	745356	745409	745414	745402	745373	745370	745370	745375	745371	745372	745276	745293	745281	745271	745292	745290	744998	744860	745147
