Assemblies	MP_helen_r10_1	MP_helen_r10_2	MP_helen_r10_3	MP_r10_1	MP_r10_2	MP_r10_3	r1_medaka_r10_1	r1_medaka_r10_2	r1_medaka_r10_3	r2_medaka_r10_1	r2_medaka_r10_2	r2_medaka_r10_3	racon_r1_r10_1	racon_r1_r10_2	racon_r1_r10_3	racon_r2_r10_1	racon_r2_r10_2	racon_r2_r10_3	raw_r10_1	raw_r10_2	raw_r10_3
bs_ill	24072144	24070716	24072083	24075954	24075406	24076499	24074829	24072142	24074875	24068354	24059914	24071745	24063908	24060798	24065303	24061249	24053400	24062516	24062559	24061175	24061500
ec_ill	24072144	24070716	24072083	24075954	24075406	24076499	24074829	24072142	24074875	24068354	24059914	24071745	24063908	24060798	24065303	24061249	24053400	24062516	28132710	28131320	28131647
ef_ill	24072144	24070716	24072083	24075954	24075406	24076499	24074829	24072142	24074875	24068354	24059914	24071745	24063908	24060798	24065303	24061249	24053400	24062516	24062559	24061175	24061500
lf_ill	24072144	24070716	24072083	24075954	24075406	24076499	24074829	24072142	24074875	24068354	24059914	24071745	24063908	24060798	24065303	24061249	24053400	24062516	24062559	24061175	24061500
lm_ill	24072144	24070716	24072083	24075954	24075406	24076499	24074829	24072142	24074875	24068354	24059914	24071745	24063908	24060798	24065303	24061249	24053400	24062516	30851140	30849756	30850081
pa_ill	30864326	30862898	30864265	30868202	30867654	30868747	30867074	30864387	30867120	30860600	30852160	30863991	30855559	30852449	30856954	30853010	30845161	30854277	30851140	30849756	30850081
sa_ill	24072144	24070716	24072083	24075954	24075406	24076499	24074829	24072142	24074875	24068354	24059914	24071745	24063908	24060798	24065303	24061249	24053400	24062516	24062559	24061175	24061500
se_ill	24072144	24070716	24072083	24075954	24075406	24076499	24074829	24072142	24074875	24068354	24059914	24071745	24063908	24060798	24065303	24061249	24053400	24062516	28132710	28131320	28131647
